City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
87,Yellowknife,62.456,-114.3525,63.12,67,75,13.8,CA,2022-06-12 00:37:10
88,Chuy,-33.6971,-53.4616,45.19,70,40,14.54,UY,2022-06-12 00:38:53
89,Porto Walter,-8.2686,-72.7439,70.34,75,100,0.67,BR,2022-06-12 00:38:53
90,Atakpame,7.5333,1.1333,70.88,97,100,2.84,TG,2022-06-12 00:38:53
91,Coquimbo,-29.9533,-71.3436,53.33,87,100,3.44,CL,2022-06-12 00:38:54
92,Katsuura,35.1333,140.3,66.13,85,100,20.4,JP,2022-06-12 00:38:54
93,Bambous Virieux,-20.3428,57.7575,68.25,100,75,11.5,MU,2022-06-12 00:39:55
94,At-Bashi,41.1702,75.8106,59.16,56,41,1.39,KG,2022-06-12 00:39:56
95,Castro,-24.7911,-50.0119,42.75,66,100,3.31,BR,2022-06-12 00:39:56
96,Liepaja,56.5419,21.0367,57.18,88,20,2.3,LV,2022-06-12 00:39:56
97,Bud,39.447,-86.1758,74.62,88,100,6.64,US,2022-06-12 00:39:57
98,Ilulissat,69.2167,-51.1,37.42,75,75,5.75,GL,2022-06-12 00:39:57
99,Lorengau,-2.0226,147.2712,85.24,65,92,8.77,PG,2022-06-12 00:39:58
100,Bluff,-46.6,168.3333,45.81,74,100,8.19,NZ,2022-06-12 00:39:58
101,Cidreira,-30.1811,-50.2056,47.93,64,1,20.07,BR,2022-06-12 00:39:58
102,Bandarbeyla,9.4942,50.8122,78.78,77,26,23.62,SO,2022-06-12 00:39:59
103,Contamana,-7.3333,-75.0167,67.68,80,9,1.32,PE,2022-06-12 00:39:59
104,Lavrentiya,65.5833,-171.0,38.26,63,100,17.72,RU,2022-06-12 00:40:00
105,Brae,60.3964,-1.353,51.89,92,100,25.08,GB,2022-06-12 00:40:01
106,Araceli,10.5529,119.9913,83.91,70,15,4.68,PH,2022-06-12 00:40:01
107,Progress,40.2851,-76.8314,71.24,65,0,4.61,US,2022-06-12 00:40:02
108,Lebu,-37.6167,-73.65,48.6,81,100,4.52,CL,2022-06-12 00:40:02
109,Volosovo,59.4333,29.4833,59.36,78,99,4.09,RU,2022-06-12 00:40:02
110,Kakching,24.4833,93.9833,73.02,89,35,1.57,IN,2022-06-12 00:40:03
111,Varadero,23.1536,-81.2514,81.36,78,100,3.89,CU,2022-06-12 00:39:21
112,Provideniya,64.3833,-173.3,39.07,69,100,1.57,RU,2022-06-12 00:40:03
113,Izhma,65.0083,53.9113,41.22,60,95,9.93,RU,2022-06-12 00:40:04
114,San Remo,43.8182,7.7612,74.32,40,0,3.0,IT,2022-06-12 00:40:04
115,Kaitangata,-46.2817,169.8464,44.22,71,100,4.03,NZ,2022-06-12 00:40:05
116,Iralaya,15.0,-83.2333,78.48,85,100,9.8,HN,2022-06-12 00:40:05
117,South Sioux City,42.4739,-96.4136,86.27,37,0,10.36,US,2022-06-12 00:40:05
118,Severo-Kurilsk,50.6789,156.125,46.78,83,84,9.17,RU,2022-06-12 00:38:59
119,Turayf,31.6725,38.6637,75.45,25,0,5.75,SA,2022-06-12 00:40:06
120,Talnakh,69.4865,88.3972,65.21,35,100,9.91,RU,2022-06-12 00:40:07
121,Codrington,-38.2667,141.9667,53.4,75,100,15.7,AU,2022-06-12 00:40:07
122,Smithers,54.7804,-127.1743,57.52,41,40,3.44,CA,2022-06-12 00:40:07
123,Aykhal,66.0,111.5,50.04,65,100,16.24,RU,2022-06-12 00:40:08
124,Mount Darwin,-16.7725,31.5838,51.26,96,26,1.41,ZW,2022-06-12 00:40:08
125,Ormara,25.2088,64.6357,82.15,83,19,10.18,PK,2022-06-12 00:40:09
126,Mitu,1.1983,-70.1733,70.21,99,100,2.95,CO,2022-06-12 00:35:12
127,Kalmunai,7.4167,81.8167,80.98,75,100,3.6,LK,2022-06-12 00:40:09
128,Zhuhai,22.2769,113.5678,83.98,94,40,10.36,CN,2022-06-12 00:40:10
129,Saravan,39.7196,45.6483,52.88,77,7,5.06,AM,2022-06-12 00:40:10
130,Khani,41.9563,42.9566,67.57,69,100,6.55,GE,2022-06-12 00:40:11
131,Chokurdakh,70.6333,147.9167,64.35,24,89,12.24,RU,2022-06-12 00:40:11
132,Sudova Vyshnya,49.7889,23.3722,59.07,82,94,6.13,UA,2022-06-12 00:40:12
133,Matangad,8.5769,124.37,81.77,72,87,1.28,PH,2022-06-12 00:40:12
134,Klaipeda,55.7172,21.1175,57.25,83,7,9.06,LT,2022-06-12 00:40:12
135,Helena,46.5927,-112.0361,67.41,49,100,12.66,US,2022-06-12 00:36:02
136,Champua,22.0833,85.6667,86.16,50,9,9.57,IN,2022-06-12 00:40:13
137,Thompson,55.7435,-97.8558,71.76,30,40,9.22,CA,2022-06-12 00:41:13
138,Hasaki,35.7333,140.8333,70.29,85,100,21.77,JP,2022-06-12 00:41:14
139,Yulara,-25.2406,130.9889,53.98,46,0,10.31,AU,2022-06-12 00:41:14
140,Klaksvik,62.2266,-6.589,50.92,95,100,14.25,FO,2022-06-12 00:41:15
141,Bodrum,37.0383,27.4292,71.08,81,5,5.19,TR,2022-06-12 00:40:53
142,Huadian,42.9633,126.7478,70.48,66,100,2.51,CN,2022-06-12 00:41:15
143,Banjarmasin,-3.3244,114.591,77.14,91,100,3.89,ID,2022-06-12 00:41:16
144,Trstenik,43.6169,21.0025,64.81,98,32,5.3,RS,2022-06-12 00:41:16
145,Norman Wells,65.282,-126.8329,53.64,82,75,14.97,CA,2022-06-12 00:41:17
146,Kousseri,12.0769,15.0306,78.76,65,20,13.8,CM,2022-06-12 00:41:17
147,Tiksi,71.6872,128.8694,39.34,71,29,8.34,RU,2022-06-12 00:41:18
148,Bandar,2.05,99.75,74.62,94,96,1.12,ID,2022-06-12 00:41:18
149,Hailar,49.2,119.7,57.09,88,100,11.77,CN,2022-06-12 00:41:19
150,Mabaruma,8.2,-59.7833,74.08,98,100,4.36,GY,2022-06-12 00:41:19
151,Kavieng,-2.5744,150.7967,85.33,66,16,13.31,PG,2022-06-12 00:41:19
152,Tula,54.2044,37.6111,58.03,96,80,6.8,RU,2022-06-12 00:41:20
153,Pacific Grove,36.6177,-121.9166,83.37,47,0,12.66,US,2022-06-12 00:41:13
154,Rio Gallegos,-51.6226,-69.2181,46.45,61,0,8.05,AR,2022-06-12 00:38:32
155,Nalut,30.3333,10.85,69.48,50,0,10.71,LY,2022-06-12 00:41:20
156,Eucaliptus,-17.5833,-67.5167,40.41,40,0,5.95,BO,2022-06-12 00:41:21
157,Raychikhinsk,49.7838,129.4121,71.06,58,65,8.55,RU,2022-06-12 00:41:21
158,Puerto Escondido,15.85,-97.0667,81.43,61,100,9.22,MX,2022-06-12 00:41:22
159,Hamilton,39.1834,-84.5333,74.25,75,75,6.91,US,2022-06-12 00:39:32
160,Kabinda,-6.1333,24.4833,67.93,59,5,4.52,CD,2022-06-12 00:41:22
161,Khatanga,71.9667,102.5,52.7,54,100,8.63,RU,2022-06-12 00:41:23
162,Reshetylivka,49.565,34.0782,64.45,69,22,4.92,UA,2022-06-12 00:41:23
163,Tambura,5.6,27.4667,67.24,95,93,0.54,SS,2022-06-12 00:41:23
164,Sandviken,60.6167,16.7667,54.57,62,0,8.66,SE,2022-06-12 00:41:24
165,Usinsk,65.9939,57.5281,41.59,59,100,18.3,RU,2022-06-12 00:41:24
166,Alghero,40.5589,8.3181,60.89,67,0,1.14,IT,2022-06-12 00:41:25
167,Alexandria,31.2156,29.9553,75.16,69,40,0.0,EG,2022-06-12 00:37:45
168,Lima,-12.0432,-77.0282,62.91,83,100,10.36,PE,2022-06-12 00:37:37
169,Linxia,35.6003,103.2064,61.52,49,31,1.14,CN,2022-06-12 00:41:26
170,Pisco,-13.7,-76.2167,61.02,88,0,10.36,PE,2022-06-12 00:41:26
171,Tiznit,29.5833,-9.5,72.45,70,59,2.48,MA,2022-06-12 00:41:27
172,Akyab,20.15,92.9,82.11,84,72,9.98,MM,2022-06-12 00:41:27
173,Sergeyevka,53.88,67.4158,56.48,89,0,10.54,KZ,2022-06-12 00:41:28
174,Neuquen,-38.9516,-68.0591,39.09,70,0,2.3,AR,2022-06-12 00:39:47
175,Humboldt,40.6665,-123.9178,61.12,85,98,5.35,US,2022-06-12 00:41:28
176,Porto Velho,-8.7619,-63.9039,68.05,88,100,5.75,BR,2022-06-12 00:38:59
177,Martapura,-3.4167,114.85,77.09,100,100,4.61,ID,2022-06-12 00:41:29
178,Zhigansk,66.7697,123.3711,55.53,69,24,6.69,RU,2022-06-12 00:41:30
179,Longyearbyen,78.2186,15.6401,37.24,81,100,3.44,SJ,2022-06-12 00:41:28
